,open,close,high,low,value,volume,begin,end
0,267.6,266.29,268.68,264.0,13875642502.8,52125800,2024-10-01 00:00:00,2024-10-01 23:59:59
1,266.01,259.31,268.0,258.52,12233584613.0,46519200,2024-10-02 00:00:00,2024-10-02 23:59:59
2,259.31,264.25,264.49,257.2,14759403716.9,56534560,2024-10-03 00:00:00,2024-10-03 23:59:59
3,264.96,264.09,265.44,262.11,6861324907.4,25992290,2024-10-04 00:00:00,2024-10-04 23:59:59
4,264.25,263.39,267.0,261.37,7618217009.6,28940600,2024-10-07 00:00:00,2024-10-07 23:59:59
5,263.0,262.4,263.8,261.89,4248218099.7,16163780,2024-10-08 00:00:00,2024-10-08 23:59:59
6,262.42,260.86,263.8,259.59,6531053134.9,25021350,2024-10-09 00:00:00,2024-10-09 23:59:59
7,260.88,259.98,261.64,258.91,4598989252.9,17677230,2024-10-10 00:00:00,2024-10-10 23:59:59
8,259.8,256.94,260.07,256.8,6408762717.8,24848580,2024-10-11 00:00:00,2024-10-11 23:59:59
9,256.15,261.28,263.91,254.1,16646352622.2,64205680,2024-10-14 00:00:00,2024-10-14 23:59:59
10,260.94,262.03,263.7,259.84,6879583803.8,26247370,2024-10-15 00:00:00,2024-10-15 23:59:59
11,262.05,259.5,264.72,258.45,10504935123.6,40206260,2024-10-16 00:00:00,2024-10-16 23:59:59
12,259.5,256.57,260.45,256.03,6366640213.7,24658790,2024-10-17 00:00:00,2024-10-17 23:59:59
13,256.21,257.19,258.9,254.41,7693100993.4,30020250,2024-10-18 00:00:00,2024-10-18 23:59:59
14,257.3,258.21,259.85,256.78,5547686295.3,21471680,2024-10-21 00:00:00,2024-10-21 23:59:59
15,258.1,255.42,258.8,255.25,4381858399.4,17064680,2024-10-22 00:00:00,2024-10-22 23:59:59
16,255.1,252.01,255.9,251.34,7718228941.6,30420950,2024-10-23 00:00:00,2024-10-23 23:59:59
17,252.01,252.64,254.27,250.25,7245386056.0,28764370,2024-10-24 00:00:00,2024-10-24 23:59:59
18,252.72,246.35,255.35,245.7,20126043138.8,80587930,2024-10-25 00:00:00,2024-10-25 23:59:59
